KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0221505447;Ruskovce (Okres B·novce nad Bebravou);53;61;144;143;33;79;0;6
SK0221505455;Rybany;156;292;389;351;68;194;3;64
SK0221505471;Slatina nad Bebravou;39;72;130;129;19;53;0;10
SK0221505480;Slatinka nad Bebravou;19;22;61;53;7;30;1;5
SK0221505544;äÌpkov;2;30;74;28;4;8;0;3
SK0221505552;äiöov;55;81;164;114;31;58;1;6
SK0221505579;Timoradza;45;82;151;134;20;70;0;2
SK0221505595;Trebichava;4;4;15;10;1;5;0;2
SK0221505625;Uhrovec;141;212;425;424;81;216;2;28
SK0221505633;UhrovskÈ Podhradie;4;4;15;4;6;5;0;1
SK0221505684;VeækÈ Hoste;51;102;170;155;23;45;1;7
SK0221505692;VeækÈ Chlievany;54;68;137;143;26;62;0;8
SK0221505765;VysoËany;9;19;43;19;6;12;0;1
SK0221505790;ZlatnÌky;67;107;224;150;27;84;2;20
SK0221505811;éitn·-Radiöa;38;73;141;111;12;59;2;12
SK0221542652;B·novce nad Bebravou;1596;2430;4137;4762;929;2647;28;782
SK0221542741;Brezolupy;48;84;114;140;31;76;0;11
SK0221542776;Cimenn·;8;24;28;28;2;10;0;1
SK0221542806;»ierna Lehota (Okres B·novce nad Bebravou);10;8;40;29;3;18;0;2
SK0221542822;Deûerice;145;159;226;241;67;159;1;21
SK0221542849;DolnÈ Naötice;71;90;144;152;37;73;1;20
SK0221542857;DubniËka;9;22;38;27;9;18;0;1
SK0221542873;Dvorec;50;72;142;121;32;50;2;6
SK0221542890;Hal·Ëovce;46;66;104;88;18;39;0;8
SK0221542920;HornÈ Naötice;65;75;116;147;29;71;0;3
SK0221543080;Kr·sna Ves;52;80;134;133;21;69;0;7
SK0221543136;Köinn·;41;83;123;141;35;56;1;6
SK0221545651;VeækÈ Drûkovce;88;94;198;185;30;76;0;9
SK0221556289;Otrh·nky;42;54;113;115;15;49;0;6
SK0221556360;Libichava;14;22;41;38;9;14;2;2
SK0221556408;Chud· Lehota;30;33;73;54;13;20;1;2
SK0221556742;Pochabany;38;39;80;49;16;32;0;4
SK0221556793;BorËany;32;45;85;65;15;20;1;0
SK0222512885;Boleöov;163;219;421;390;88;225;4;25
SK0222512931;»erven˝ KameÚ;63;113;208;157;32;79;2;16
SK0222513016;Dubnica nad V·hom;2090;2652;4855;6392;1219;4134;28;1225
SK0222513024;Dulov;93;142;258;208;70;129;1;17
SK0222513091;Horn· Poruba;120;151;350;275;64;102;3;19
SK0222513156;Ilava;626;720;1128;1543;340;981;8;226
SK0222513253;Koöeca;332;352;603;752;150;469;2;74
SK0222513296;Ladce;283;343;574;717;133;369;2;93
SK0222513351;KoöeckÈ Podhradie;119;161;303;260;64;99;8;33
SK0222513385;Mikuöovce (Okres Ilava);124;175;339;242;57;84;3;26
SK0222513440;Nov· Dubnica;1018;1223;2000;3074;636;2471;12;450
SK0222513598;PruskÈ;293;321;517;596;110;362;24;87
SK0222513725;TuchyÚa;90;114;199;222;37;124;4;16
SK0222513865;Zliechov;79;132;144;121;25;57;1;21
SK0222557391;BorËice;133;88;135;163;50;123;0;20
SK0222557404;KameniËany;64;83;120;164;33;92;0;7
SK0222557412;Sedmerovec;40;65;121;110;15;70;0;5
SK0222557421;Slavnica;63;149;213;186;47;118;43;6
SK0222557617;Krivokl·t;27;43;86;35;15;19;1;12
SK0222557625;VröatskÈ Podhradie;26;45;83;40;12;11;0;5
SK0222582301;Bohunice (Okres Ilava);112;105;196;206;41;103;1;9
SK0223504254;Brestovec (Okres Myjava);88;139;277;291;59;114;3;8
SK0223504262;Brezov· pod Bradlom;428;686;1162;1473;283;659;5;152
SK0223504289;Bukovec (Okres Myjava);46;71;135;106;26;40;2;5
SK0223504408;Chvojnica (Okres Myjava);28;69;93;85;19;41;1;10
SK0223504424;Jablonka;32;73;146;138;21;49;1;10
SK0223504467;Koöarisk·;36;73;98;107;11;87;1;2
SK0223504581;Myjava;986;1463;2353;3151;652;1854;19;507
SK0223504661;Polianka;44;51;88;116;22;64;1;10
SK0223504688;Poriadie;56;87;195;193;45;98;1;7
SK0223504696;PriepasnÈ;35;51;96;112;20;37;1;2
SK0223504793;RudnÌk (Okres Myjava);98;133;203;223;42;105;4;9
SK0223504866;Star· Myjava;76;90;190;230;50;109;2;15
SK0223504971;Vrbovce;141;257;402;353;65;174;3;55
SK0223506079;HraönÈ;35;66;168;140;20;43;1;8
SK0223506141;KostolnÈ;65;104;172;167;32;39;2;17
SK0223506150;KrajnÈ;124;215;424;367;82;169;9;44
SK0223506419;Podkylava;19;36;55;66;9;37;1;7
SK0224505846;Beckov;146;198;342;410;78;225;1;36
SK0224505871;Boö·ca;153;195;322;397;62;198;2;31
SK0224505889;Brunovce;66;86;132;173;35;82;1;18
SK0224505897;Bzince pod Javorinou;227;299;556;561;96;240;4;68
SK0224505901;»achtice;428;674;816;977;171;507;4;126
SK0224505919;»astkovce;260;247;351;457;94;212;0;18
SK0224505951;DolnÈ Srnie;116;158;207;290;38;149;2;32
SK0224505994;HÙrka nad V·hom;89;112;194;201;43;116;4;15
SK0224506001;Horn· Streda;146;175;354;402;84;183;1;39
SK0224506052;Hr·dok;98;121;172;167;37;109;0;33
SK0224506061;Hrachoviöte;73;173;183;145;26;57;3;16
SK0224506109;K·lnica;106;145;298;282;59;115;2;17
SK0224506125;KoËovce;204;261;385;449;79;222;5;26
SK0224506184;Lubina;146;216;338;399;67;205;2;71
SK0224506206;L˙ka;82;98;178;187;35;114;0;7
SK0224506249;Modrov·;35;114;117;117;22;63;2;6
SK0224506257;Modrovka;25;26;59;59;7;23;0;4
SK0224506265;MoravskÈ LieskovÈ;217;436;696;701;103;320;9;57
SK0224506303;Nov· Boö·ca;90;159;336;250;58;115;1;18
SK0224506311;Nov· Lehota;21;56;66;37;5;19;0;3
SK0224506338;NovÈ Mesto nad V·hom;2015;2553;3758;5524;1034;3903;33;824
