KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0231501123;Dulovce;167;516;368;311;77;165;4;40
SK0231501140;Hurbanovo;800;1599;1550;1776;413;947;54;328
SK0231501158;ChotÌn;119;233;356;384;66;163;1;53
SK0231501166;Imeæ;170;416;556;484;99;215;9;33
SK0231501174;Iûa;155;366;450;411;79;213;4;103
SK0231501182;KameniËn·;197;452;483;462;63;173;11;93
SK0231501191;KlÌûska Nem·;29;159;114;79;18;30;1;19
SK0231501204;Kol·rovo;968;2376;2753;2471;478;978;30;518
SK0231501212;Kravany nad Dunajom;50;166;180;179;37;80;3;23
SK0231501221;LipovÈ;13;29;44;32;11;11;0;2
SK0231501239;Marcelov·;423;1030;896;766;128;274;15;270
SK0231501247;Martovce;56;151;221;135;39;70;1;21
SK0231501255;MoËa;89;243;311;253;58;135;0;43
SK0231501263;Modrany;121;427;339;235;52;87;5;49
SK0231501271;MudroÚovo;10;36;33;20;11;12;0;2
SK0231501280;Nesvady;566;1409;1242;1060;239;446;16;36
SK0231501301;OkoliËn· na Ostrove;109;391;438;317;40;112;4;29
SK0231501310;Patince;41;115;129;141;28;57;0;16
SK0231501328;Pribeta;191;756;755;611;118;219;7;88
SK0231501336;RadvaÚ nad Dunajom;59;149;182;161;37;115;0;8
SK0231501344;Sokolce;113;325;332;235;48;89;2;59
SK0231501352;ärob·rov·;48;83;126;125;34;78;1;10
SK0231501361;TÙÚ;48;185;219;173;31;54;1;26
SK0231501379;Tr·vnik;45;211;208;120;18;47;5;29
SK0231501387;VeækÈ Kosihy;82;264;287;164;29;66;3;50
SK0231501395;B·torove Kosihy;323;888;886;674;149;300;10;93
SK0231501409;Vrbov· nad V·hom;42;167;148;110;16;36;0;24
SK0231501417;Zemianska OlËa;182;623;670;443;96;168;9;126
SK0231501425;Zlatn· na Ostrove;216;646;636;455;90;163;13;209
SK0231555819;Bodzianske L˙ky;7;65;57;26;9;18;0;9
SK0231555827;Virt;28;48;78;90;17;47;0;1
SK0231580911;Holiare;51;138;139;88;20;20;3;15
SK0232502031;Levice;2813;4303;5658;9029;1632;6933;57;1549
SK0232502049;Bajka;55;135;73;21;4;10;0;30
SK0232502057;B·tovce;140;241;294;273;45;138;10;43
SK0232502065;Beöa (Okres Levice);61;172;163;137;23;49;9;21
SK0232502073;Bielovce;21;68;73;43;8;7;0;5
SK0232502090;Bory;35;70;127;61;8;12;2;6
SK0232502103;Brhlovce;20;49;88;81;13;38;0;7
SK0232502111;»ajkov;87;124;203;305;26;197;1;14
SK0232502120;»aka;71;222;185;140;35;68;2;20
SK0232502154;Demandice;127;193;220;233;51;98;1;43
SK0232502162;DeviËany;39;47;95;142;15;48;1;21
SK0232502171;Doln· SeË;66;117;96;108;34;80;4;20
SK0232502189;DolnÈ Semerovce;68;264;87;61;12;19;1;28
SK0232502197;Doln˝ Pial;105;175;222;221;51;101;11;25
SK0232502201;Domadice;20;40;57;70;6;35;0;14
SK0232502219;Drûenice;25;78;103;92;8;45;4;27
SK0232502227;Farn·;96;381;340;276;61;108;11;76
SK0232502243;Hokovce;51;129;114;103;20;55;4;29
SK0232502251;Hontianska Vrbica;72;150;148;147;25;46;2;21
SK0232502260;Horn· SeË;52;89;126;177;26;93;0;7
SK0232502278;HornÈ Semerovce;87;143;170;119;34;45;3;40
SK0232502286;HornÈ Turovce;49;135;152;143;27;42;3;16
SK0232502294;Horn˝ Pial;21;72;79;55;11;15;4;11
SK0232502324;Hronovce;162;403;351;306;63;116;2;83
SK0232502332;HronskÈ KæaËany;134;184;299;414;66;262;3;39
SK0232502341;HronskÈ Kosihy;70;131;165;238;23;88;7;20
SK0232502359;IÚa;30;30;62;66;8;25;0;8
SK0232502367;IpeæskÈ ⁄æany;28;65;90;57;12;17;2;3
SK0232502375;Ipeæsk˝ Sokolec;79;216;212;160;48;62;7;45
SK0232502383;JabloÚovce;20;40;67;40;9;24;0;9
SK0232502391;Jur nad Hronom;111;186;219;249;47;121;2;48
SK0232502413;Kaln· nad Hronom;218;328;428;499;91;324;8;177
SK0232502421;Koz·rovce;270;368;349;562;100;343;16;74
SK0232502430;Krökany;76;113;186;185;28;127;1;75
SK0232502448;Kub·Úovo;22;59;65;68;10;28;0;4
SK0232502456;KukuËÌnov;59;191;156;77;28;18;2;56
SK0232502464;Kuraæany;28;95;119;130;19;70;2;12
SK0232502472;Keù;41;121;144;156;30;63;2;20
SK0232502481;Lok;133;291;269;193;31;59;8;89
SK0232502499;Lontov;81;267;144;71;20;22;14;43
SK0232502502;Lula;13;43;63;36;8;11;0;1
SK0232502511;M·laö;39;127;137;101;14;34;1;27
SK0232502537;MalÈ Ludince;19;43;41;35;8;16;1;7
SK0232502570;M˝tne Ludany;103;297;233;175;47;74;3;48
SK0232502588;Nov· Dedina;133;202;349;433;63;260;2;14
SK0232502596;Nov˝ Tekov;100;187;228;214;29;100;3;36
SK0232502600;N˝rovce;40;141;158;97;24;36;1;23
SK0232502618;Ondrejovce;45;122;123;82;16;30;2;20
SK0232502626;Pastovce;47;155;124;101;22;23;1;22
SK0232502634;PeËenice;10;10;31;46;4;24;0;2
SK0232502642;Pl·öùovce;130;340;413;409;70;122;7;13
SK0232502651;PlavÈ Vozokany;110;240;156;115;15;41;5;92
SK0232502669;Podluûany (Okres Levice);68;116;183;219;29;138;1;10
SK0232502677;Pohronsk˝ Ruskov;103;298;333;280;56;86;3;82
SK0232502693;Pukanec;118;353;493;452;77;189;2;93
SK0232502707;RybnÌk (Okres Levice);117;244;323;373;67;254;2;26
SK0232502715;Santovka;50;128;191;161;38;78;0;13
SK0232502723;Sazdice;62;125;121;90;18;33;2;14
SK0232502731;Sikenica;81;196;171;93;17;22;2;45
SK0232502740;Slatina;49;115;67;41;7;12;1;20
SK0232502758;Star˝ Hr·dok;31;38;46;36;13;34;1;8
SK0232502766;Star˝ Tekov;155;195;297;456;68;282;1;41
SK0232502782;äahy;626;1349;1660;1791;451;941;25;424
SK0232502791;äalov;61;165;55;36;3;8;4;20
SK0232502804;äarovce;200;691;291;195;45;53;9;122
SK0232502812;Tehla;55;102;135;83;19;36;3;32
SK0232502821;TekovskÈ Luûany;319;678;787;557;120;218;9;155
SK0232502847;Tekovsk˝ Hr·dok;35;106;101;76;13;38;0;11
SK0232502863;TlmaËe;291;476;736;1087;163;664;6;214
SK0232502871;Tup·;47;115;152;140;41;53;1;19
SK0232502880;Tur·;23;57;85;31;6;3;2;8
SK0232502898;Uhlisk·;8;56;50;41;7;8;2;8
SK0232502910;VeækÈ Ludince;121;426;364;307;57;136;7;46
SK0232502928;VeækÈ Turovce;66;147;208;209;45;53;0;14
SK0232502936;Veæk˝ œur;130;246;344;355;55;134;1;54
SK0232502944;Vyökovce nad Ipæom;80;178;160;142;24;40;4;27
SK0232502952;VyönÈ nad Hronom;18;26;27;57;7;29;1;10
SK0232502961;Zalaba;5;33;45;41;5;11;0;1
SK0232502979;ZbrojnÌky;42;94;140;128;27;47;0;20
SK0232502987;éeliezovce;616;1197;1473;1716;407;938;28;381
SK0232502995;éemberovce;118;200;331;302;50;184;3;41
SK0232503002;éemliare;7;42;39;36;8;15;1;2
SK0232545350;Hontianske Trsùany;24;70;55;79;17;54;0;7
SK0232555843;»ata;125;294;281;215;45;71;3;51
SK0232556777;JesenskÈ (Okres Levice);7;10;3;17;2;8;0;2
SK0232580937;Bohunice (Okres Levice);20;26;39;30;3;27;0;4
SK0232581135;MalÈ Kozm·lovce;28;74;118;82;14;29;4;32
SK0232581160;VeækÈ Kozm·lovce;57;120;164;232;47;91;0;7
SK0232581895;Hrkovce;23;50;79;72;26;36;2;3
SK0233500011;Nitra;8064;9148;11437;19261;3704;22942;147;3786
SK0233500020;Aleköince;185;289;449;400;59;233;5;79
SK0233500046;B·b;156;215;330;259;59;141;2;33
SK0233500071;BranË;199;393;624;529;105;272;2;44
SK0233500101;»akajovce;131;225;293;266;49;153;6;40
SK0233500135;»eæadice;123;169;269;292;56;148;2;19
SK0233500160;»if·re;56;151;152;126;35;59;1;16
SK0233500194;DolnÈ Obdokovce;127;241;333;225;42;136;4;32
SK0233500232;Golianovo;261;309;420;470;91;307;1;33
SK0233500313;HruboÚovo;63;74;140;141;18;68;1;21
SK0233500356;Jarok;226;320;477;539;114;350;0;39
SK0233500372;Jelenec;224;324;494;532;131;300;6;64
SK0233500381;Jelöovce;81;179;262;219;44;167;5;31
SK0233500399;Kapince;14;36;59;52;3;15;2;3
SK0233500402;Klasov;166;320;288;258;67;201;3;123
SK0233500411;KolÌÚany;178;271;358;390;80;238;2;34
SK0233500453;Lehota;283;385;548;611;129;367;4;55
SK0233500470;L˙Ënica nad éitavou;84;183;278;230;50;104;1;27
SK0233500488;Luk·Ëovce;127;197;337;301;50;126;4;25
SK0233500518;VeækÈ Chyndice;39;53;101;82;14;32;2;15
SK0233500534;MalÈ Z·luûie;33;42;71;55;15;44;0;6
SK0233500569;Melek;59;99;144;100;20;56;1;18
SK0233500577;MojmÌrovce;339;531;619;614;124;547;11;137
SK0233500631;Nov· Ves nad éitavou;151;184;315;356;63;192;1;76
SK0233500640;NovÈ Sady;132;172;331;365;75;184;3;34
SK0233500666;PaÚa;48;70;111;96;9;47;0;11
SK0233500674;Podhorany (Okres Nitra);77;186;281;300;57;172;2;10
SK0233500682;Pohranice;94;196;300;280;62;155;1;24
SK0233500691;Poæn˝ Kesov;72;91;166;175;28;99;1;22
SK0233500704;RiöÚovce;240;346;519;513;103;318;8;49
SK0233500712;Rumanov·;84;162;244;189;37;91;0;14
SK0233500780;äurianky;49;110;159;156;29;74;2;9
SK0233500798;Tajn·;32;38;80;74;13;29;0;9
SK0233500844;Veæk· Dolina;75;116;188;152;27;97;1;27
SK0233500887;VeækÈ Z·luûie;513;747;1018;1084;211;624;10;143
SK0233500895;Veæk˝ CetÌn;144;355;436;375;76;199;2;39
SK0233500917;Vinodol;306;531;487;408;88;186;20;35
SK0233500933;Vr·ble;818;1113;1895;2367;417;1591;14;378
SK0233500941;V˝Ëapy-Opatovce;233;340;533;536;127;383;2;43
SK0233500950;Zbehy;203;353;538;566;99;370;3;90
SK0233500992;éirany;119;229;346;328;65;231;2;40
SK0233501018;éitavce;41;70;117;108;15;43;3;15
SK0233545589;Cabaj-»·por;507;743;956;1025;201;646;9;208
SK0233545635;HornÈ Lefantovce;87;112;196;244;45;152;0;25
SK0233555851;Mal˝ Lap·ö;225;159;170;276;48;317;3;8
SK0233555860;Veæk˝ Lap·ö;273;228;384;460;90;415;4;33
SK0233555886;»echynce;130;228;302;298;73;215;0;9
SK0233555908;Mal˝ CetÌn;53;67;113;113;26;74;0;6
SK0233555959;Hosùov·;38;74;115;86;18;56;0;5
SK0233555967;Telince;86;121;78;72;12;28;2;21
SK0233555991;Sv‰toplukovo;184;248;362;297;53;192;2;30
SK0233556696;Nitrianske HrnËiarovce;196;303;365;476;88;687;4;77
SK0233556785;MalÈ Chyndice;43;60;126;92;21;33;2;9
SK0233558320;Ivanka pri Nitre;327;408;573;756;133;574;4;93
SK0233580899;Luûianky;345;644;602;709;136;543;10;71
SK0233581097;ºudovÌtov·;20;40;71;49;11;39;7;2
SK0233581623;Babindol;102;124;200;151;36;108;2;39
SK0233581691;ätefanoviËov·;37;47;61;88;24;53;0;11
SK0233582387;»ab;79;115;208;207;43;114;0;9
SK0233582425;DolnÈ Lefantovce;100;101;181;163;38;98;0;21
SK0233582697;B·dice;50;36;88;120;18;68;3;7
SK0233582719;ätit·re;143;153;175;239;42;255;0;21
SK0234503011;NovÈ Z·mky;3467;5348;6647;9996;2199;7902;75;2157
SK0234503029;Andovce;173;356;321;353;97;255;4;64
SK0234503037;Bajtava;36;117;96;74;18;16;1;34
SK0234503045;B·nov;353;589;792;1015;188;599;4;157
SK0234503053;BardoÚovo;36;162;200;159;29;57;24;15
SK0234503061;Bel· (Okres NovÈ Z·mky);18;67;99;95;15;19;0;12
SK0234503070;BeöeÚov;143;377;487;366;78;140;3;27
SK0234503088;BÌÚa;132;424;395;240;58;80;5;99
SK0234503096;Branovo;36;108;146;155;32;87;1;14
SK0234503100;Bruty;49;173;135;118;22;47;0;34
SK0234503118;»echy;28;53;70;85;20;39;0;6
SK0234503126;»ernÌk;131;177;242;266;54;146;2;30
SK0234503134;Dedinka;61;171;202;142;23;65;1;12
SK0234503151;Doln˝ Ohaj;144;219;342;453;64;215;1;67
SK0234503169;DubnÌk;151;399;432;337;51;129;8;69
SK0234503177;Dvory nad éitavou;511;1240;1125;983;221;562;17;340
SK0234503185;Gbelce;163;501;586;507;97;163;6;100
SK0234503193;Hul;110;177;292;359;69;175;2;28
SK0234503207;Chæaba;61;128;231;164;41;58;5;17
SK0234503215;Jasov·;107;259;299;288;39;113;1;45
SK0234503223;Jatov;62;136;217;176;37;58;2;25
SK0234503231;Kamenica nad Hronom;104;353;315;200;52;111;43;91
SK0234503240;KamenÌn;133;380;354;316;73;97;8;118
SK0234503258;Kamenn˝ Most;109;242;286;243;45;88;2;45
SK0234503266;Kmeùovo;60;140;221;211;55;117;1;22
SK0234503274;Kolta;80;273;364;318;53;120;2;47
SK0234503282;Komjatice;514;737;875;1071;203;595;9;219
SK0234503291;KomoËa;76;168;211;267;56;122;1;54
SK0234503312;Leæa;22;101;98;53;10;19;2;3
SK0234503321;Lipov· (Okres NovÈ Z·mky);142;231;408;379;80;208;38;38
SK0234503339;ºub·;29;112;118;81;19;26;0;19
SK0234503347;Mal· nad Hronom;34;107;143;67;15;22;0;10
SK0234503355;MalÈ Kosihy;36;109;126;47;23;9;1;28
SK0234503363;MaÚa;189;378;498;500;106;243;48;42
SK0234503371;Michal nad éitavou;51;116;207;202;24;66;1;5
SK0234503380;Veæk˝ K˝r;288;595;737;735;176;390;7;52
SK0234503398;Mojzesovo;138;263;338;345;72;137;2;51
SK0234503401;Muûla;167;468;493;410;101;185;0;88
SK0234503436;Nov· Vieska;49;153;169;181;24;66;3;11
SK0234503452;Pal·rikovo;486;821;877;1116;188;563;9;212
SK0234503479;Podh·jska;74;182;226;296;61;210;0;28
SK0234503487;Pozba;35;108;109;125;24;50;0;5
SK0234503495;Radava;59;137;209;206;32;95;1;18
SK0234503509;Rastislavice;101;176;281;231;49;97;1;15
SK0234503517;R˙baÚ;101;252;261;179;32;64;6;31
SK0234503525;Salka;73;191;283;228;51;91;3;54
SK0234503533;Semerovo;150;372;385;239;45;102;2;37
SK0234503541;SikeniËka;36;116;122;90;24;25;2;21
SK0234503550;Strekov;176;464;498;443;102;183;7;53
SK0234503568;SvodÌn;198;648;548;532;133;211;9;133
SK0234503576;äarkan;37;130;115;55;11;13;0;10
SK0234503584;ät˙rovo;709;1353;1844;2893;687;1715;14;562
SK0234503592;äurany;851;1429;1959;2715;434;1650;19;505
SK0234503606;Tr·vnica;102;198;302;253;45;103;1;28
SK0234503614;Tvrdoöovce;507;1191;1255;1216;244;549;28;193
SK0234503631;VeækÈ Lovce;183;388;416;396;67;204;2;147
SK0234503649;ZemnÈ;208;684;505;413;67;180;8;71
SK0234556025;Vlkas;24;67;82;96;12;31;0;4
SK0234556033;Pavlov·;7;69;59;44;13;15;0;6
SK0234556050;⁄æany nad éitavou;161;194;378;480;79;196;5;40
SK0234556092;N·na;107;205;233;362;78;151;3;59
SK0234582361;Obid;97;288;278;254;43;98;4;79
SK0235500241;H·jske;141;306;296;276;62;174;5;86
SK0235500739;MoËenok;464;737;1050;1091;209;606;8;191
SK0235503711;Diakovce;228;478;609;579;112;280;4;91
SK0235503720;Dlh· nad V·hom;91;130;237;218;57;167;3;10
SK0235503886;Kr·æov· nad V·hom;186;284;411;431;113;342;4;57
SK0235503932;Neded;336;986;864;556;161;219;5;88
SK0235503991;Selice;329;1157;609;343;97;107;13;217
SK0235504025;äaæa;1910;3000;4167;5770;1261;3895;29;1151
SK0235504068;TeöedÌkovo;378;743;1019;855;210;381;14;119
SK0235504092;Trnovec nad V·hom;352;539;704;579;147;262;5;196
SK0235504165;VlËany;294;755;786;705;172;337;9;162
SK0235504190;éih·rec;202;452;475;355;81;151;5;73
SK0235555878;Horn· Kr·æov·;186;413;545;380;67;204;11;60
SK0236504998;TopoæËany;2142;3511;5390;6708;1490;4498;48;1462
SK0236505021;LipovnÌk (Okres TopoæËany);18;56;100;86;22;24;1;8
SK0236505048;Ludanice;185;265;467;485;115;226;2;49
SK0236505064;Luûany;20;39;80;52;8;26;0;0
SK0236505137;MalÈ RipÚany;52;96;164;137;23;58;2;13
SK0236505226;NemeËky;17;61;99;87;12;27;0;6
SK0236505234;Nitrianska Blatnica;124;212;344;338;58;120;2;34
SK0236505242;Nitrianska Streda;63;146;184;221;28;90;0;11
SK0236505251;Norovce;22;63;98;73;15;43;0;21
SK0236505285;Oponice;81;145;241;169;49;89;5;41
SK0236505340;Podhradie (Okres TopoæËany);27;42;100;58;17;23;2;14
SK0236505374;Praöice;178;322;543;545;129;272;5;41
SK0236505404;Preseæany;136;201;406;383;76;232;2;43
SK0236505421;Radoöina;141;292;488;489;119;280;4;76
SK0236505439;RajËany;61;104;133;129;31;59;2;16
SK0236505498;SolËany;245;408;624;729;151;333;2;61
SK0236505510;S˙lovce;54;98;149;136;25;64;0;13
SK0236505536;äalgovce;57;91;130;147;22;60;1;8
SK0236505561;Tes·re;65;100;181;193;52;121;4;14
SK0236505617;Tvrdomestice;36;85;177;98;23;33;1;3
SK0236505641;Urmince;131;221;357;401;66;181;2;43
SK0236505676;VeækÈ Dvorany;86;119;224;180;25;90;3;21
SK0236505714;VeækÈ RipÚany;227;341;662;506;126;190;4;48
SK0236505749;Veluöovce;46;75;157;136;22;81;0;7
SK0236505757;Vozokany (Okres TopoæËany);44;67;109;79;11;38;0;3
SK0236505773;Z·vada (Okres TopoæËany);62;101;222;117;25;58;2;9
SK0236542661;Belince;38;58;77;104;22;53;0;12
SK0236542695;Biskupov·;28;43;73;53;9;27;0;11
SK0236542709;Blesovce;29;62;115;89;15;24;1;11
SK0236542717;Bojn·;205;334;561;540;98;225;3;62
SK0236542792;»ermany;20;49;113;97;20;55;1;9
SK0236542881;Hajn· Nov· Ves;26;83;95;79;24;21;1;11
SK0236542938;HornÈ Obdokovce;130;262;478;342;72;141;23;42
SK0236542954;HornÈ ätit·re;81;94;181;123;28;75;11;14
SK0236542971;Hruöovany;103;207;306;231;58;165;2;20
SK0236543039;Kamanov·;65;90;184;148;26;86;1;7
SK0236543063;Koniarovce;68;100;164;175;38;84;1;17
SK0236543071;Kovarce;148;351;457;339;73;155;4;52
SK0236543101;KrnËa;124;309;383;333;62;129;2;24
SK0236543110;Krtovce;16;65;90;71;11;32;1;4
SK0236556149;Kruöovce;154;333;412;440;71;248;0;87
SK0236556157;Jacovce;148;233;464;456;99;347;6;52
SK0236556165;Chrabrany;71;147;196;246;53;121;0;16
SK0236556211;Oreöany;37;60;103;92;8;31;0;4
SK0236556220;Ardanovce;19;36;77;50;2;16;0;4
SK0236556238;Svrbice;18;29;62;42;7;19;0;9
SK0236556262;Dvorany nad Nitrou;70;127;219;211;47;99;1;25
SK0236556297;»eæadince;40;95;100;137;32;58;0;10
SK0236556327;SolËianky;20;46;82;72;13;22;1;5
SK0236556351;HornÈ Chlebany;46;59;117;83;11;40;1;2
SK0236580457;TovarnÌky;172;180;318;380;85;306;1;46
SK0236581305;NemËice;69;145;229;268;64;175;1;24
SK0236581658;Pr·znovce;104;218;222;220;52;130;1;27
SK0236581704;Kuzmice (Okres TopoæËany);85;132;184;180;51;93;3;25
SK0237500062;Beladice;223;300;407;366;74;227;5;64
SK0237500127;»aradice;66;73;102;125;20;90;1;35
SK0237500151;»ierne KæaËany;121;190;283;339;66;154;3;12
SK0237500283;Hostie;121;220;300;305;72;169;3;19
SK0237500305;Hosùovce (Okres ZlatÈ Moravce);74;110;186;206;43;104;0;27
SK0237500321;ChoËa;54;95;145;110;38;48;2;9
SK0237500364;JedæovÈ Kostoæany;65;182;242;242;42;101;1;12
SK0237500429;Kostoæany pod TribeËom;26;49;107;95;20;41;0;6
SK0237500437;Ladice;66;123;245;190;40;60;3;31
SK0237500461;Lovce;61;120;199;190;32;89;2;6
SK0237500500;Machulince;108;187;258;309;67;150;5;17
SK0237500542;Mankovce;66;67;140;127;34;85;0;9
SK0237500551;Martin nad éitavou;57;67;134;167;27;78;0;5
SK0237500585;NemËiÚany;64;132;164;171;29;57;1;36
SK0237500593;Neverice;89;109;175;163;46;91;1;18
SK0237500607;Nevidzany (Okres ZlatÈ Moravce);56;84;157;174;23;71;1;17
SK0237500658;Obyce;149;240;429;380;55;221;3;33
SK0237500721;Sk˝cov;89;181;252;255;48;101;6;16
SK0237500747;Sæaûany;173;291;442;471;76;198;3;58
SK0237500755;SlepËany;87;100;196;201;43;157;0;29
SK0237500810;Tes·rske MlyÚany;177;259;442;458;82;203;0;140
SK0237500828;TopoæËianky;231;364;578;761;158;541;8;63
SK0237500836;VelËice;95;118;220;226;47;137;3;5
SK0237500909;Vieska nad éitavou;56;48;110;152;25;67;2;3
SK0237500925;Volkovce;108;193;256;237;32;135;37;15
SK0237500968;ZlatÈ Moravce;1163;1721;2224;3290;671;2169;19;689
SK0237500976;Zlatno (Okres ZlatÈ Moravce);21;38;61;50;15;24;1;1
SK0237500984;éikava;71;95;150;114;14;67;1;16
SK0237517305;TekovskÈ Nemce;113;179;279;272;45;127;1;45
SK0237555916;»erven˝ Hr·dok;37;68;108;126;15;58;1;6
SK0237555924;MalÈ Vozokany;44;45;100;71;20;48;0;5
SK0237555932;VeækÈ Vozokany;45;66;99;134;17;74;1;12
SK0237582816;éitavany;139;328;463;495;120;221;7;88
SK0311517461;BytËa;1265;1678;2698;2911;614;1826;19;403
SK0311517623;Hvozdnica;132;215;365;282;44;136;3;22
SK0311517631;JablonovÈ (Okres BytËa);100;145;235;266;45;99;2;18
SK0311517674;Kol·rovice;188;317;559;461;100;175;5;19
SK0311517691;Koteöov·;262;334;485;588;118;318;1;45
SK0311517798;Maröov·-Raöov;174;140;214;258;48;149;1;38
SK0311517861;Petrovice;163;268;443;436;65;193;3;43
SK0311517895;Predmier;138;174;279;397;73;256;1;39
SK0311517992;S˙æov-Hradn·;89;157;227;273;61;147;0;23
SK0311518018;ätiavnik;475;637;1184;1006;183;432;14;83
SK0311518085;VeækÈ RovnÈ;392;613;960;992;198;438;7;97
SK0311581984;HlbokÈ nad V·hom;109;204;315;203;45;83;7;9
SK0312509132;»adca;2416;3234;5211;6073;1351;3853;63;1127
SK0312509159;»ierne;496;714;1198;1155;249;529;10;68
SK0312509167;Dlh· nad Kysucou;69;122;219;123;25;47;0;14
SK0312509183;Dunajov;125;199;282;300;68;142;2;18
SK0312509213;KlokoËov (Okres »adca);186;596;692;459;81;188;14;71
SK0312509221;Klubina;68;106;153;132;15;54;0;9
SK0312509230;KorÚa;153;435;636;454;85;181;2;35
SK0312509248;Kr·sno nad Kysucou;660;1068;1652;1862;337;971;9;117
SK0312509299;Makov;137;313;453;502;73;206;6;20
SK0312509311;Nov· Bystrica;257;635;800;557;98;253;6;74
SK0312509337;Oleön·;155;386;583;468;92;196;4;45
SK0312509345;OöËadnica;681;1035;1396;1377;283;741;101;122
SK0312509361;Podvysok·;137;242;340;335;63;191;0;39
SK0312509396;RadÙstka;68;169;265;186;37;57;3;13
SK0312509400;Rakov·;644;962;1445;1431;282;770;17;79
SK0312509451;SkalitÈ;610;956;1297;1497;243;581;16;47
SK0312509477;Star· Bystrica;317;460;758;659;140;356;3;47
SK0312509485;Staökov;288;464;705;720;152;336;6;93
SK0312509493;SvrËinovec;332;649;1005;841;149;332;10;52
SK0312509507;Turzovka;715;1232;1833;1816;356;887;27;367
SK0312509515;Vysok· nad Kysucou;262;499;650;649;114;263;9;132
SK0312509523;Z·kopËie;177;299;490;424;86;181;6;47
SK0312509531;Zborov nad Bystricou;213;409;618;574;110;234;4;25
SK0313509540;Doln˝ KubÌn;1910;2337;2980;5035;1055;4252;27;499
SK0313509639;Dlh· nad Oravou;165;227;329;405;85;205;2;15
SK0313509671;Horn· Lehota (Okres Doln˝ KubÌn);78;80;130;140;40;85;0;4
SK0313509698;Chlebnice;213;308;431;416;65;165;1;5
SK0313509701;IstebnÈ;124;217;332;369;70;176;5;66
SK0313509710;Jasenov·;48;51;69;129;21;96;1;10
SK0313509744;Kraæovany;56;55;118;118;15;66;1;1
SK0313509761;Kriv·;99;120;165;248;49;120;0;7
SK0313509787;Leötiny;42;36;62;77;20;53;2;4
SK0313509825;Malatin·;105;182;239;199;25;67;4;13
SK0313509833;Medzibrodie nad Oravou;83;100;125;150;40;66;1;7
SK0313509922;Oravsk· Poruba;121;141;205;327;61;210;2;12
SK0313509957;Oravsk˝ Podz·mok;153;194;268;388;55;277;3;15
SK0313509965;Os·dka;28;25;33;29;11;37;0;6
SK0313509973;P·rnica;111;167;212;258;52;130;2;4
SK0313509990;Pokryv·Ë;23;35;39;41;7;26;0;6
SK0313510009;Pribiö;55;102;135;104;18;60;1;3
SK0313510017;Pucov;140;169;233;200;41;101;2;14
SK0313510041;Sedliacka Dubov·;70;67;116;166;21;90;0;12
SK0313510165;VeliËn·;207;222;217;378;68;317;2;20
SK0313510181;Vyön˝ KubÌn;105;103;108;199;30;239;2;10
SK0313510211;Z·zriv·;255;550;628;620;115;297;11;76
SK0313510254;éaökov;170;304;422;394;89;201;3;39
SK0313580813;Bziny;78;78;100;145;42;126;1;8
SK0314509175;Doln˝ VadiËov;58;67;88;168;31;91;0;10
SK0314509205;Horn˝ VadiËov;164;296;434;448;79;221;5;32
SK0314509256;KysuckÈ NovÈ Mesto;1479;2068;3038;4137;869;2593;33;443
SK0314509264;Kysuck˝ Lieskovec;235;428;552;620;121;349;8;65
SK0314509272;Lodno;102;215;301;205;50;84;2;12
SK0314509281;LopuönÈ Paûite;42;68;122;140;19;42;2;6
SK0314509302;Nesluöa;332;613;723;812;169;351;8;157
SK0314509329;Ochodnica;193;294;506;498;113;245;3;70
SK0314509370;Povina;117;207;273;304;63;136;2;36
SK0314509426;Rudina;219;310;424;447;94;270;4;46
SK0314509434;Rudinka;51;54;82;109;32;59;3;7
SK0314509442;Rudinsk·;131;188;316;224;51;67;1;37
SK0314509469;Sneûnica;148;187;295;266;39;132;0;18
SK0314580791;Radoæa;163;226;310;476;68;249;1;28
SK0315507393;Konsk· (Okres Liptovsk˝ Mikul·ö);25;26;60;58;11;37;0;6
SK0315510262;Liptovsk˝ Mikul·ö;2953;4055;5431;7998;1802;6938;51;1294
SK0315510271;BeÚadikov·;65;87;168;125;25;54;1;8
SK0315510319;BobrovËek;12;30;46;42;11;25;0;4
SK0315510327;Bobrovec;207;296;436;538;89;369;4;45
SK0315510335;BobrovnÌk;7;25;45;25;8;20;0;2
SK0315510351;Bukovina;15;19;30;30;5;10;1;2
SK0315510386;Dem‰novsk· Dolina;30;34;45;85;21;86;1;15
SK0315510408;D˙brava (Okres Liptovsk˝ Mikul·ö);95;201;325;362;58;167;1;19
SK0315510416;Galovany;44;41;85;81;21;37;1;1
SK0315510424;GÙtovany;57;84;146;100;22;55;1;6
SK0315510459;Huty;10;39;57;34;5;7;0;3
SK0315510467;Hybe;147;226;361;415;88;208;0;35
SK0315510505;Jakubovany (Okres Liptovsk˝ Mikul·ö);21;63;110;93;18;53;1;11
SK0315510513;Jalovec (Okres Liptovsk˝ Mikul·ö);23;38;72;96;19;60;1;2
